name,url,author,publisher,date,price,rate,persons,comment
小姨多鹤,https://book.douban.com/subject/3012517/,严歌苓,作家出版社,Apr-08,28.00元,8.6,"(
22447人评价
)",空
高效能人士的七个习惯（精华版）,https://book.douban.com/subject/1048007/,"[美]史蒂芬·柯维,高新勇",中国青年出版社,Jun-11,29.00元,8.2,"(
23108人评价
)",空
爱的艺术,https://book.douban.com/subject/3026879/,"[美]艾·弗洛姆,李健鸣",上海译文出版社,Apr-08,15.00元,8.8,"(
21603人评价
)",空
罗杰疑案,https://book.douban.com/subject/1807516/,"[英]阿加莎·克里斯蒂,张江云",人民文学出版社,May-06,21.00元,8.9,"(
21071人评价
)",空
夹边沟记事,https://book.douban.com/subject/3239549/,杨显惠,花城出版社,Sep-08,34.00元,9.2,"(
20260人评价
)",空
白银时代,https://book.douban.com/subject/1082150/,王小波,花城出版社,May-97,10.00元,8.4,"(
22473人评价
)",空
琅琊榜,https://book.douban.com/subject/2326571/,海宴,朝华出版社,Dec-07,49.80元,8.5,"(
21531人评价
)",空
动物庄园,https://book.douban.com/subject/1018136/,"（英）乔治·奥威尔,张毅",上海人民出版社,Aug-00,18,9.1,"(
20384人评价
)",空
观念的水位,https://book.douban.com/subject/20463108/,刘瑜,浙江大学出版社,Jan-13,36.00元,8.3,"(
22592人评价
)",空
枪炮、病菌与钢铁,https://book.douban.com/subject/1813841/,"[美]贾雷德·戴蒙德,谢延光",上海世纪出版集团,2006/4/1,45.00元,8.8,"(
21079人评价
)",空
一个叫欧维的男人决定去死,https://book.douban.com/subject/26672693/,"[瑞典]弗雷德里克·巴克曼,宁蒙",四川文艺出版社,Dec-15,35.00元,9,"(
20144人评价
)",空
红拂夜奔,https://book.douban.com/subject/1418686/,王小波,江苏文艺出版社,Jan-05,28.00元,8.6,"(
21285人评价
)",空
巨流河,https://book.douban.com/subject/4842446/,齐邦媛,生活·读书·新知三联书店,Oct-10,39.00元,8.7,"(
21187人评价
)",空
告白,https://book.douban.com/subject/3920130/,"湊佳苗,丁世佳",時報文化,Aug-09,NT$250,8.6,"(
21081人评价
)",空
中国大历史,https://book.douban.com/subject/1015699/,黄仁宇,生活·读书·新知三联书店,Feb-07,19.00元,8.3,"(
21982人评价
)",空
寻羊冒险记,https://book.douban.com/subject/1031740/,"[日]村上春树,林少华",上海译文出版社,Aug-01,18.80元,8.1,"(
22081人评价
)",空
云中歌1,https://book.douban.com/subject/2283084/,桐华,作家出版社,Sep-07,24.80元,8,"(
22308人评价
)",空
来不及说我爱你,https://book.douban.com/subject/1886385/,匪我思存,新世界出版社,Sep-06,20.00元,8.1,"(
21854人评价
)",空
相约星期二,https://book.douban.com/subject/2194123/,"[美]米奇·阿尔博姆,吴洪",上海译文出版社,Jul-07,19.00元,8.4,"(
20750人评价
)",空
带一本书去巴黎,https://book.douban.com/subject/1001885/,林达,生活·读书·新知三联书店,May-02,35.00元,8.5,"(
20190人评价
)",空
可爱的洪水猛兽,https://book.douban.com/subject/3860856/,韩寒,万卷出版公司,2009/8/1,25.00元,8.1,"(
21128人评价
)",空
退步集,https://book.douban.com/subject/1003284/,陈丹青,广西师范大学出版社,Jan-05,38.00元,8.1,"(
20831人评价
)",空
