name,url,author,publisher,date,price,rate,persons,comment
这些人，那些事,https://book.douban.com/subject/6388661/,吴念真,译林出版社,Sep-11,28.00元,8.8,"(
49582人评价
)",平淡叙述下的惊心动魄
陪安东尼度过漫长岁月,https://book.douban.com/subject/3014576/,安东尼,长江文艺出版社,Mar-08,18,8.3,"(
53013人评价
)",真正的片段式写作
喜宝,https://book.douban.com/subject/2022979/,亦舒,新世界出版社,Feb-07,22.00元,8,"(
54128人评价
)",爱情才是终极的奢侈品
梦里花落知多少,https://book.douban.com/subject/2070844/,三毛,北京十月文艺出版社,Jun-07,28.00元,8.8,"(
47721人评价
)",哀而不伤
射雕英雄传（全四册）,https://book.douban.com/subject/1044547/,金庸,生活·读书·新知三联书店,Apr-99,47.00元,8.9,"(
45896人评价
)",侠之大者，为国为民
一只特立独行的猪,https://book.douban.com/subject/1767945/,王小波,北方文艺出版社,Apr-06,18.80元,8.8,"(
46577人评价
)",生活就是个缓慢受锤的过程，至少还可以特立独行
一个人的朝圣,https://book.douban.com/subject/24934182/,"【英】蕾秋·乔伊斯,黄妙瑜",北京联合出版公司,2013/9/1,32.8,8.1,"(
50720人评价
)",关于爱和信念的旅行
如何阅读一本书,https://book.douban.com/subject/1013208/,"[美]莫提默·J.艾德勒,郝明义",商务印书馆,Jan-04,38.00元,8.4,"(
47842人评价
)",读书的方法论
朝花夕拾,https://book.douban.com/subject/1449352/,鲁迅,人民文学出版社,1972年4月,0.25元,8.7,"(
45065人评价
)",鲁迅的旧事重提
格林童话全集,https://book.douban.com/subject/1043008/,"[德国]格林兄弟,魏以新",人民文学出版社,Nov-94,21.45元,9,"(
43349人评价
)",许多隐晦
孩子你慢慢来,https://book.douban.com/subject/4207781/,龙应台,生活·读书·新知三联书店,2009/12/1,28.00元,8.8,"(
43161人评价
)",我们现在怎样做母亲
地下铁,https://book.douban.com/subject/1056733/,幾米,辽宁教育出版社,Feb-02,32.00元,8.3,"(
45323人评价
)",黑暗世界中的点滴亮光
杀死一只知更鸟,https://book.douban.com/subject/6781808/,"[美]哈珀·李,高红梅",译林出版社,Sep-12,32.00元,9.2,"(
39784人评价
)",有一种东西不能遵循从众原则，那就是——人的良心
麦琪的礼物,https://book.douban.com/subject/1051193/,"[美]欧·亨利,张经浩",上海社会科学院出版社,Jul-03,25.00元,8.6,"(
41811人评价
)",日常的奇迹
海底两万里,https://book.douban.com/subject/1085470/,"[法国]儒尔·凡尔纳,沈国华",译林出版社,Sep-02,19.50元,8.4,"(
42880人评价
)",你听说过鹦鹉螺号吗？
刀锋,https://book.douban.com/subject/2035162/,"[英]毛姆,周煦良",上海译文出版社,Mar-07,18.00元,9,"(
39864人评价
)",一把刀的锋刃不容易越过；因此智者说得救之道是困难的
孤独六讲,https://book.douban.com/subject/4124727/,蒋勋,广西师范大学出版社,2009/10/1,36.00元,8.1,"(
44162人评价
)",作为一种美学的孤独
步步惊心,https://book.douban.com/subject/1812439/,桐华,民族出版社,Jun-06,25.00元,8.1,"(
43848人评价
)",现世太苦，不如穿越回去从头来过
月亮忘記了,https://book.douban.com/subject/1358873/,幾米,格林,2000/2/1,NT$299,8.6,"(
40832人评价
)",月明星稀的晚上，看不见的，看见了
此间的少年,https://book.douban.com/subject/1020459/,江南,华文出版社,Jan-04,25.00元,8.4,"(
41713人评价
)",象牙塔里的金庸群侠
菊与刀,https://book.douban.com/subject/1022238/,"（美）鲁思?本尼迪克特,吕万和",商务印书馆,Jun-90,16,8.2,"(
43043人评价
)",复杂矛盾的日本民族
你今天真好看,https://book.douban.com/subject/26602392/,"[美]莉兹?克里莫,周高逸,雅众文化",天津人民出版社,Aug-15,39.00元,8.7,"(
39905人评价
)",呆萌可爱的动物段子手
查令十字街84号,https://book.douban.com/subject/1316648/,"[美]海莲·汉芙,陈建铭",译林出版社,2005/5/1,18.00元,8.3,"(
41414人评价
)",文艺青年的爱情地标
尘埃落定,https://book.douban.com/subject/1080309/,阿来,人民文学出版社,1998/3/1,22,8.4,"(
40165人评价
)",一个傻子的土司家族传奇
流浪地球,https://book.douban.com/subject/3266609/,刘慈欣,湖北长江出版集团，长江文艺出版社,Nov-08,28.00元,8.6,"(
39938人评价
)",刘慈欣获中国科幻银河奖的中短篇小说集
球状闪电,https://book.douban.com/subject/1192090/,刘慈欣,四川科学技术出版社,Jun-05,22.00元,8.7,"(
38198人评价
)",量子之外，没有真相
那些回不去的年少时光,https://book.douban.com/subject/4231381/,桐华,江苏文艺出版社,Jan-10,23.80元,8.4,"(
38757人评价
)",所有你曾热爱却正在遗忘的人和事
荆棘鸟,https://book.douban.com/subject/1086249/,"[澳]考琳·麦卡洛,曾胡",译林出版社,Jul-98,28.00元,8.6,"(
38084人评价
)",澳洲乱世情
金锁记,https://book.douban.com/subject/3017857/,张爱玲,哈尔滨出版社,Jun-05,13.5元,8.5,"(
38553人评价
)",曹七巧就像希克厉，一个扭曲的英雄
哭泣的骆驼,https://book.douban.com/subject/1029111/,三毛,哈尔滨出版社,Jun-03,15.80元,8.9,"(
36284人评价
)",沙漠中寻常的生与死
悲惨世界（上中下）,https://book.douban.com/subject/1205054/,"[法]雨果,李丹",人民文学出版社,Jun-92,66.00元,8.9,"(
36009人评价
)",现实主义与浪漫主义的至高杰作
一個人住第5年,https://book.douban.com/subject/1346815/,"高木直子,洪俞君",大田,2004/12/1,NT$220,8.4,"(
38567人评价
)",独居生活之乐
富爸爸，穷爸爸,https://book.douban.com/subject/1033778/,"（美）罗伯特?T?清崎,杨君，杨明",世界图书出版公司,Sep-00,18.8,8.2,"(
38685人评价
)",人穷穷观念，人富钱生钱
寻路中国,https://book.douban.com/subject/5414391/,"[美]彼得·海斯勒,李雪顺",上海译文出版社,Jan-11,33.00元,9,"(
35345人评价
)",中国在路上，非虚构写作所能达到的高度
常识,https://book.douban.com/subject/3344676/,梁文道,广西师范大学出版社,Jan-09,38,8.1,"(
39485人评价
)",献给这个常识稀缺的时代
雷雨,https://book.douban.com/subject/1013416/,曹禺,人民文学出版社,May-99,9.2,8.6,"(
37201人评价
)",人的心都靠不住，我并不是说人坏，我就是恨人性太弱，太容易变了
史蒂夫·乔布斯传,https://book.douban.com/subject/6798611/,"[美]沃尔特·艾萨克森,管延圻",中信出版社,2011/10/24,68.00元,8.7,"(
36219人评价
)",完美主义者的最高形态
飞鸟集,https://book.douban.com/subject/1058661/,"[印]罗宾德拉纳德·泰戈尔,徐翰林",哈尔滨出版社,Jun-04,16.80元,8.9,"(
35624人评价
)",淡泊，超脱
水浒传（全二册）,https://book.douban.com/subject/1008357/,[明]施耐庵,人民文学出版社,Jan-97,50.60元,8.6,"(
36381人评价
)",风风火火闯九州
海贼王,https://book.douban.com/subject/1474773/,"尾田荣一郎,董科",浙江人民美术出版社,Nov-07,7.50元,9.5,"(
32375人评价
)",热血，梦想，希望
鹿鼎记（全五册）,https://book.douban.com/subject/1212893/,金庸,广州出版社花城出版社,Mar-08,108.00元,8.8,"(
35230人评价
)",武侠的解构，流氓的狂欢
你好，旧时光（上下）,https://book.douban.com/subject/4166819/,八月长安,新世界出版社,Dec-09,39.80元,8.8,"(
35013人评价
)",原作名切题
倚天屠龙记(共四册),https://book.douban.com/subject/1070851/,金庸,三联书店,Apr-99,47,8.6,"(
35668人评价
)",不识张郎是张郎
西游记（全二册）,https://book.douban.com/subject/1029553/,"吴承恩,黄肃秋注释",人民文学出版社,Aug-04,47.20元,8.8,"(
34474人评价
)",取经之路就在脚下
时间旅行者的妻子,https://book.douban.com/subject/2056749/,"[美]奥德丽·尼芬格,夏金",人民文学出版社,Apr-07,29.90元,8.1,"(
38244人评价
)",在时间的缝隙中穿行，然后相遇
狂人日记,https://book.douban.com/subject/1398395/,鲁迅,京华出版社,Mar-06,39.80元,8.7,"(
34385人评价
)",中国现代文学史上第一篇真正的现代白话小说
